customer_segment,uk_region,support_channel,product_area,issue_category,priority_initial,day_of_week,hour_of_day,customer_tenure_months,contract_value_gbp,previous_tickets_90d,avg_sentiment_score,message_length,contains_urgent_keyword,contains_refund_keyword,agent_queue_length_at_submit,assigned_agent,agent_experience_months,backlog_age_hours,first_response_minutes,reopened_last_90d,submitted_hour,submitted_dayofweek_num,submitted_month,is_weekend,contract_value_log1p,queue_pressure,negative_sentiment_flag,high_backlog_flag,message_word_count,message_has_deadline,sla_breached,resolution_hours
Public Sector,Northern Ireland,phone,Account Access,bug,Critical,Thursday,4,51.0,68161.08,0,-0.277,93,0,0,30.0,Mia,16,3.68,132,0,4.0,3.0,1.0,0,11.129643677469506,1.7647058823529411,0,0,14,1,1,35.33
Mid-Market,West Midlands,email,Mobile App,access_request,High,Sunday,8,36.0,20167.82,6,0.445,102,0,0,36.0,Harry,11,6.4,298,0,8.0,6.0,10.0,1,9.911893126510083,3.0,0,0,17,0,1,31.72
Enterprise,Wales,chat,Security,service_outage,Critical,Thursday,17,18.0,11014.32,3,-0.448,108,1,0,14.0,Muhammad,27,1.24,170,0,17.0,3.0,10.0,0,9.307042310108153,0.5,1,0,15,1,1,18.86
Enterprise,East Midlands,email,Workflow Automation,performance,Critical,Sunday,13,70.0,58950.07,0,0.232,93,0,0,0.0,Mia,20,5.09,1,0,13.0,6.0,11.0,1,10.984463056776193,0.0,0,0,13,0,1,21.01
Mid-Market,Greater Manchester,email,Workflow Automation,billing_query,Medium,Saturday,6,34.0,13361.13,1,0.639,129,0,1,12.0,Grace,22,5.8,73,0,6.0,5.0,9.0,1,9.500179865520568,0.5217391304347826,0,0,17,0,0,8.46
SMB,South West,phone,Security,bug,Medium,Thursday,11,40.0,18262.06,0,0.693,78,0,0,42.0,Leo,17,4.34,83,0,11.0,3.0,11.0,0,9.812635719517642,2.3333333333333335,0,0,12,0,0,35.28
SMB,Northern Ireland,chat,Mobile App,access_request,Low,Sunday,6,28.0,5241.06,1,0.714,106,0,0,8.0,Muhammad,46,2.56,14,0,6.0,6.0,2.0,1,8.564469829830818,0.1702127659574468,0,0,17,0,0,23.69
SMB,Yorkshire,email,Security,integration_failure,Critical,Saturday,16,29.0,4821.16,0,-0.013,114,1,0,64.0,Harry,18,16.86,295,0,16.0,5.0,12.0,1,8.480977239443224,3.3684210526315788,0,1,15,1,1,44.55
Public Sector,South East,email,Workflow Automation,bug,Critical,Saturday,7,20.0,53548.44,0,-0.053,89,0,0,37.0,George,25,2.38,236,0,7.0,5.0,10.0,1,10.888360618304874,1.4230769230769231,0,0,13,0,1,27.35
SMB,South East,chat,Account Access,bug,High,Sunday,23,19.0,10558.92,7,0.345,80,0,0,50.0,Harry,4,8.14,207,0,23.0,6.0,12.0,1,9.26482098147398,10.0,0,0,13,0,1,29.31
Enterprise,Greater Manchester,web,Workflow Automation,data_quality,Critical,Thursday,8,4.0,34858.34,0,0.027,98,0,0,23.0,Ava,16,13.23,142,0,8.0,3.0,2.0,0,10.459076386020428,1.3529411764705883,0,0,14,0,1,14.01
Public Sector,South West,chat,Workflow Automation,billing_query,Critical,Tuesday,6,1.0,125056.48,2,0.757,137,0,1,21.0,Grace,9,6.16,40,0,6.0,1.0,2.0,0,11.736528750590425,2.1,0,0,18,0,1,21.59
Mid-Market,London,email,Api Integration,performance,High,Wednesday,13,26.0,8632.67,0,-0.477,89,0,0,16.0,Ava,19,10.52,172,0,13.0,2.0,10.0,0,9.063424954398187,0.8,1,0,13,0,1,29.17
Public Sector,South East,web,Payments,data_quality,Critical,Wednesday,4,28.0,77512.56,1,0.421,101,1,0,12.0,Ava,28,2.35,79,0,4.0,2.0,11.0,0,11.258208167778303,0.41379310344827586,0,0,15,1,1,23.63
SMB,London,email,Reporting,performance,Critical,Monday,15,18.0,44920.54,2,-0.165,83,0,0,43.0,Muhammad,28,5.02,207,0,15.0,0.0,1.0,0,10.712672691434806,1.4827586206896552,0,0,12,0,1,15.78
Enterprise,South West,chat,Reporting,integration_failure,Critical,Tuesday,15,17.0,128721.36,7,-0.221,112,1,0,32.0,Grace,16,0.62,144,0,15.0,1.0,1.0,0,11.765413115867366,1.8823529411764706,0,0,15,1,1,28.93
Mid-Market,South East,email,Billing,integration_failure,Critical,Sunday,18,38.0,41395.08,2,-0.259,102,1,0,12.0,Oliver,39,25.61,8,0,18.0,6.0,1.0,1,10.630941469340065,0.3,0,1,14,0,1,38.81
Mid-Market,Northern Ireland,chat,Data Export,how_to,High,Friday,0,19.0,18578.24,3,-0.579,104,0,0,43.0,Leo,44,1.86,114,0,0.0,4.0,2.0,0,9.829800107333167,0.9555555555555556,1,0,16,0,0,6.26
SMB,South East,email,Security,refund_request,High,Thursday,9,42.0,9434.16,2,-0.252,98,0,0,37.0,George,14,12.26,194,0,9.0,3.0,10.0,0,9.152198415793467,2.466666666666667,0,0,14,1,0,19.77
Enterprise,South East,chat,Data Export,how_to,Medium,Thursday,20,36.0,34119.62,1,0.495,99,0,0,13.0,Mia,27,2.32,238,0,20.0,3.0,12.0,0,10.437657172601131,0.4642857142857143,0,0,17,0,0,6.02
SMB,Northern Ireland,phone,Payments,how_to,High,Monday,18,20.0,10650.92,1,-0.519,77,0,0,45.0,George,31,6.31,268,0,18.0,0.0,1.0,0,9.273495436578921,1.40625,1,0,13,0,0,13.6
SMB,East Midlands,web,Workflow Automation,access_request,High,Thursday,22,55.0,40652.58,0,-0.109,115,0,0,25.0,Harry,12,6.63,150,0,22.0,3.0,1.0,0,10.61284217997881,1.9230769230769231,0,0,17,0,0,17.06
Public Sector,South West,web,Billing,bug,Critical,Monday,18,10.0,31936.04,1,0.809,83,1,0,34.0,George,21,0.18,241,0,18.0,0.0,10.0,0,10.371521743711218,1.5454545454545454,0,0,13,1,1,26.44
Mid-Market,South East,email,Mobile App,data_quality,Medium,Sunday,17,34.0,12406.27,2,0.476,95,0,0,16.0,Isla,5,7.07,45,0,17.0,6.0,12.0,1,9.426037870114685,2.6666666666666665,0,0,14,1,0,19.12
SMB,South West,phone,Workflow Automation,access_request,Medium,Friday,12,41.0,48638.52,0,0.972,115,0,0,14.0,Ava,31,4.21,27,0,12.0,4.0,9.0,0,10.792191648170302,0.4375,0,0,17,0,0,0.3
Mid-Market,East Midlands,chat,Account Access,bug,High,Friday,21,16.0,9276.55,0,0.182,80,0,0,32.0,George,17,15.86,31,0,21.0,4.0,1.0,0,9.135352782303146,1.7777777777777777,0,1,13,0,1,24.06
Mid-Market,West Midlands,phone,Account Access,refund_request,Critical,Friday,15,31.0,23083.51,0,-0.537,110,0,0,36.0,Harry,12,14.1,209,0,,,,0,10.04691710881155,2.769230769230769,1,1,17,0,1,37.23
Mid-Market,South West,phone,Mobile App,refund_request,High,Thursday,3,31.0,25283.93,2,0.18,144,0,1,16.0,Sophie,37,0.84,66,0,3.0,3.0,1.0,0,10.137963845070464,0.42105263157894735,0,0,21,0,0,19.12
Enterprise,West Midlands,phone,Reporting,bug,Critical,Thursday,7,48.0,42796.5,3,0.054,88,0,0,49.0,Noah,1,1.13,170,0,7.0,3.0,9.0,0,10.664234968648934,24.5,0,0,13,1,1,31.46
Mid-Market,West Midlands,phone,Payments,bug,Critical,Tuesday,10,13.0,31872.44,0,-0.223,84,1,0,71.0,Isla,28,2.68,328,0,10.0,1.0,9.0,0,10.369528340086598,2.4482758620689653,0,0,13,1,1,28.95
Public Sector,West Midlands,chat,Data Export,access_request,High,Friday,17,28.0,13319.81,4,-0.045,102,1,0,7.0,Noah,19,4.3,105,0,17.0,4.0,2.0,0,9.497082753056288,0.35,0,0,15,1,0,19.19
Mid-Market,Scotland,email,Api Integration,how_to,Medium,Wednesday,0,21.0,8879.1,0,-0.221,103,0,0,11.0,Oliver,36,10.56,108,0,0.0,2.0,1.0,0,9.09156809718407,0.2972972972972973,0,0,17,0,0,21.8
Enterprise,Greater Manchester,email,Payments,billing_query,Critical,Sunday,7,47.0,107687.28,7,1.0,134,1,1,17.0,Grace,43,1.02,12,1,7.0,6.0,9.0,1,11.586996036424553,0.38636363636363635,0,0,20,1,1,31.37
Public Sector,Scotland,web,Payments,bug,Critical,Monday,14,8.0,160204.2,0,0.868,93,0,0,33.0,Noah,20,0.78,274,0,14.0,0.0,12.0,0,11.984210772515318,1.5714285714285714,0,0,15,0,1,9.83
SMB,Northern Ireland,web,Account Access,how_to,Low,Thursday,18,37.0,8078.75,1,0.915,99,1,0,0.0,Noah,11,2.95,47,0,18.0,3.0,2.0,0,8.997116210442412,0.0,0,0,15,1,0,5.37
SMB,South East,web,Billing,data_quality,Critical,Tuesday,2,61.0,23452.5,2,0.124,97,0,0,28.0,Mia,45,0.53,51,0,2.0,1.0,9.0,0,10.062775016468539,0.6086956521739131,0,0,15,0,1,24.72
SMB,South West,email,Payments,billing_query,Medium,Wednesday,5,20.0,9424.2,0,0.079,88,0,0,50.0,Isla,19,3.86,215,1,5.0,2.0,12.0,0,9.15114223225022,2.5,0,0,13,0,0,15.85
Public Sector,West Midlands,phone,Mobile App,bug,Critical,Friday,13,34.0,109212.52,0,1.0,80,0,0,5.0,Noah,6,19.63,1,0,,,,0,11.601060144152985,0.7142857142857143,0,1,13,0,1,40.77
SMB,West Midlands,email,Mobile App,bug,Critical,Wednesday,6,54.0,39688.74,0,-0.396,76,0,0,27.0,Sophie,27,23.76,60,0,6.0,2.0,1.0,0,10.5888479949872,0.9642857142857143,1,1,13,0,1,13.26
SMB,East Midlands,chat,Payments,performance,High,Friday,14,24.0,9089.59,5,0.233,101,1,0,32.0,Grace,1,2.47,248,0,14.0,4.0,9.0,0,9.114995091555839,16.0,0,0,15,0,0,14.58
SMB,Greater Manchester,phone,Workflow Automation,bug,Medium,Saturday,8,31.0,9169.91,0,-0.009,80,0,0,8.0,Noah,53,6.46,73,0,8.0,5.0,11.0,1,9.123791796968103,0.14814814814814814,0,0,13,1,0,20.62
SMB,West Midlands,partner portal,Billing,access_request,Medium,Tuesday,21,23.0,15876.01,1,-0.143,97,0,0,28.0,Isla,35,2.5,46,0,21.0,1.0,2.0,0,9.672627429919222,0.7777777777777778,0,0,14,1,0,15.19
Mid-Market,Scotland,email,Reporting,performance,Critical,Saturday,17,0.0,3687.87,0,-0.593,87,0,0,31.0,Leo,23,9.19,48,0,17.0,5.0,1.0,1,8.213075457073323,1.2916666666666667,1,0,12,0,1,35.4
Enterprise,Greater Manchester,email,Reporting,performance,Critical,Friday,10,33.0,149357.12,1,-0.847,83,0,0,61.0,Muhammad,32,9.46,216,0,10.0,4.0,12.0,0,11.914102191098358,1.8484848484848484,1,0,12,0,1,23.79
Public Sector,South West,web,Security,billing_query,Critical,Saturday,6,41.0,77583.39,2,-0.714,98,0,0,50.0,Leo,40,0.24,118,0,6.0,5.0,2.0,1,11.25912152614215,1.2195121951219512,1,0,15,0,1,32.02
Mid-Market,Northern Ireland,chat,Mobile App,bug,High,Wednesday,0,40.0,24060.89,1,0.629,76,0,0,57.0,George,23,0.07,147,0,0.0,2.0,9.0,0,10.088384540059456,2.375,0,0,13,0,1,24.14
SMB,Greater Manchester,partner portal,Data Export,how_to,High,Saturday,14,33.0,24291.59,1,0.169,95,0,0,52.0,Ava,39,12.97,177,0,14.0,5.0,1.0,1,10.097926644553906,1.3,0,0,16,0,1,25.26
Enterprise,Northern Ireland,chat,Workflow Automation,bug,Critical,Wednesday,6,26.0,230533.02,3,-0.784,104,0,0,31.0,Oliver,29,4.36,152,0,6.0,2.0,9.0,0,12.348153722719074,1.0333333333333334,1,0,16,0,1,14.2
SMB,Scotland,partner portal,Workflow Automation,performance,Critical,Friday,19,31.0,14881.22,0,-0.541,121,1,0,30.0,Ava,11,5.38,162,0,19.0,4.0,10.0,0,9.60792249080722,2.5,1,0,17,1,1,20.67
Mid-Market,Northern Ireland,email,Account Access,bug,Medium,Friday,15,20.0,16110.97,16,0.861,80,0,0,27.0,Oliver,45,1.44,99,0,15.0,4.0,2.0,0,9.687317752990374,0.5869565217391305,0,0,13,0,0,32.97
Mid-Market,London,email,Api Integration,access_request,Medium,Wednesday,8,24.0,11929.31,2,-0.287,111,0,0,24.0,Isla,6,5.73,174,0,8.0,2.0,11.0,0,9.386837499666346,3.4285714285714284,0,0,17,0,0,18.24
SMB,London,email,Data Export,data_quality,High,Sunday,15,26.0,10574.76,1,-0.187,99,0,0,44.0,Amelia,25,3.57,159,0,15.0,6.0,9.0,1,9.266319868944418,1.6923076923076923,0,0,15,1,1,27.2
SMB,South East,email,Mobile App,integration_failure,Critical,Saturday,1,32.0,24726.73,2,0.037,120,1,0,8.0,Harry,4,15.88,115,0,1.0,5.0,1.0,1,10.115680564955836,1.6,0,1,18,1,1,24.88
Mid-Market,East Midlands,phone,Account Access,billing_query,High,Saturday,17,45.0,15475.17,2,-0.923,125,0,1,11.0,Grace,23,11.14,103,0,17.0,5.0,1.0,1,9.647056700510653,0.4583333333333333,1,0,18,0,0,15.33
SMB,Yorkshire,chat,Workflow Automation,performance,High,Friday,8,35.0,14719.12,1,0.798,120,1,0,9.0,Oliver,12,8.56,8,1,8.0,4.0,12.0,0,9.596970544423552,0.6923076923076923,0,0,16,0,0,11.75
SMB,Greater Manchester,web,Mobile App,bug,Medium,Saturday,10,52.0,19149.54,2,0.262,80,0,0,5.0,Noah,19,0.4,3,0,10.0,5.0,11.0,1,9.860086192644644,0.25,0,0,13,0,0,27.13
Enterprise,Scotland,partner portal,Api Integration,billing_query,Critical,Tuesday,10,44.0,144306.79,2,-0.358,95,0,0,46.0,Mia,29,20.33,84,0,10.0,1.0,1.0,0,11.879703728058823,1.5333333333333334,1,1,14,0,1,23.6
Enterprise,Yorkshire,email,Payments,bug,High,Thursday,4,23.0,25010.24,2,-0.217,83,0,0,20.0,Leo,3,8.33,227,1,4.0,3.0,10.0,0,10.127080602810542,5.0,0,0,14,0,0,18.97
Enterprise,Northern Ireland,web,Mobile App,how_to,High,Friday,7,35.0,30003.1,0,0.029,98,0,0,0.0,Noah,26,21.12,33,0,7.0,4.0,10.0,0,10.309089317972921,0.0,0,1,17,0,0,19.83
Mid-Market,Northern Ireland,email,Data Export,data_quality,Critical,Thursday,14,22.0,10292.57,7,-0.157,95,0,0,45.0,Ava,23,12.73,108,0,14.0,3.0,2.0,0,9.239274707434264,1.875,0,0,16,0,1,40.66
Mid-Market,Greater Manchester,phone,Billing,how_to,Critical,Thursday,20,13.0,36382.84,4,-1.0,93,0,0,40.0,George,32,0.73,203,0,20.0,3.0,1.0,0,10.501879999003215,1.2121212121212122,1,0,16,0,1,18.13
SMB,Greater Manchester,web,Reporting,how_to,Critical,Monday,16,11.0,16365.18,1,0.249,95,0,0,60.0,Oliver,3,9.05,213,0,16.0,0.0,2.0,0,9.702972289438186,15.0,0,0,15,1,1,18.85
SMB,West Midlands,chat,Payments,performance,High,Monday,23,28.0,7310.97,0,-1.0,86,0,0,36.0,Harry,37,3.53,210,0,,,,0,8.89726801028093,0.9473684210526315,1,0,12,0,0,20.2
Enterprise,South East,web,Account Access,billing_query,High,Tuesday,1,20.0,31037.48,0,0.669,104,1,0,17.0,Leo,17,0.64,39,0,1.0,1.0,1.0,0,10.342983004025966,0.9444444444444444,0,0,15,1,0,3.79
SMB,Yorkshire,web,Reporting,data_quality,High,Sunday,18,15.0,6573.24,6,-0.751,89,0,0,45.0,Grace,38,0.33,85,0,18.0,6.0,12.0,1,8.79091426101139,1.1538461538461537,1,0,14,1,0,18.97
Enterprise,Wales,web,Account Access,performance,Critical,Monday,4,10.0,168341.77,2,-0.003,94,1,0,8.0,Amelia,22,1.2,176,0,4.0,0.0,9.0,0,12.033757477424057,0.34782608695652173,0,0,14,1,1,11.45
SMB,West Midlands,email,Billing,bug,Critical,Saturday,0,47.0,56371.01,8,-0.244,77,0,0,34.0,Amelia,38,5.26,222,0,0.0,5.0,10.0,1,10.939728037704418,0.8717948717948718,0,0,12,0,1,32.43
Enterprise,Yorkshire,chat,Payments,service_outage,Critical,Saturday,18,32.0,16275.91,5,-0.965,110,1,0,33.0,Harry,1,3.7,190,0,18.0,5.0,2.0,1,9.697502818101775,16.5,1,0,17,1,1,28.96
Enterprise,South East,email,Billing,access_request,High,Saturday,6,12.0,30168.53,0,-0.605,88,0,0,40.0,Muhammad,8,2.58,173,0,6.0,5.0,11.0,1,10.314587753642634,4.444444444444445,1,0,13,0,0,16.23
SMB,West Midlands,web,Mobile App,integration_failure,Critical,Wednesday,11,52.0,7058.36,0,0.765,120,1,0,72.0,Mia,18,26.49,143,0,11.0,2.0,9.0,0,8.862109674820113,3.789473684210526,0,1,18,1,1,48.56
SMB,Wales,web,Security,integration_failure,Critical,Saturday,11,47.0,22392.33,5,-0.449,102,1,0,64.0,Leo,16,2.42,282,0,11.0,5.0,9.0,1,10.016518425644337,3.764705882352941,1,0,14,1,1,31.18
Public Sector,South West,chat,Api Integration,billing_query,Critical,Thursday,13,55.0,39125.25,0,0.022,107,1,0,35.0,Isla,10,8.96,156,0,13.0,3.0,1.0,0,10.574548876213889,3.1818181818181817,0,0,15,1,1,18.85
Enterprise,Northern Ireland,email,Reporting,service_outage,Critical,Sunday,3,56.0,111021.01,6,-1.0,111,1,0,28.0,Sophie,28,5.73,155,0,3.0,6.0,1.0,1,11.617483748926235,0.9655172413793104,1,0,16,1,1,27.96
SMB,East Midlands,web,Payments,how_to,High,Sunday,11,14.0,12807.25,5,-0.274,81,0,0,37.0,Ava,28,9.27,170,0,11.0,6.0,2.0,1,9.45784477353665,1.2758620689655173,0,0,13,0,0,16.97
